[main_menu]|en|fi|pt|ru|zh|ja|ko|de
relic_ig_83|Just a regular Sword..|Vain tavallinen miekka..|Apenas uma espada regular ..|Просто обычный меч...|只是普通的剑|ただの通常の剣。|그냥 일반 검 ..|Nur ein normales Schwert...
relic_ig_84|Just a regular Sword..|Vain tavallinen miekka..|Apenas uma espada regular ..|Просто обычный меч...|只是普通的剑|ただの通常の剣。|그냥 일반 검 ..|Nur ein normales Schwert...
relic_ig_85|An unknown Ring...|Tuntematon Sormus...|Um anel desconhecido...|Неизвестное кольцо...|未知的戒指...|不明なリング...|알 수없는 반지...|Ein unbekannter Ring...
relic_ig_86|An unknown Ring...|Tuntematon Sormus...|Um anel desconhecido...|Неизвестное кольцо...|未知的戒指...|不明なリング...|알 수없는 반지...|Ein unbekannter Ring...
relic_ig_87|An unknown Ring...|Tuntematon Sormus...|Um anel desconhecido...|Неизвестное кольцо...|未知的戒指...|不明なリング...|알 수없는 반지...|Ein unbekannter Ring...
relic_ig_88|Isn't this for chopping wood?|Eikö tämä ole puun pilkkomiseen?|Isso não é para cortar madeira?|А разве это не для рубки дров?|这不是砍木头吗？|これは薪割り用ではないですか？|이게 나무를 자르지 않았습니까?|Ist das nicht zum Holzhacken?
relic_ig_89|Isn't this for chopping wood?|Eikö tämä ole puun pilkkomiseen?|Isso não é para cortar madeira?|А разве это не для рубки дров?|这不是砍木头吗？|これは薪割り用ではないですか？|이게 나무를 자르지 않았습니까?|Ist das nicht zum Holzhacken?
relic_ig_90|Isn't this for chopping wood?|Eikö tämä ole puun pilkkomiseen?|Isso não é para cortar madeira?|А разве это не для рубки дров?|这不是砍木头吗？|これは薪割り用ではないですか？|이게 나무를 자르지 않았습니까?|Ist das nicht zum Holzhacken?
relic_ig_91|Get over here!|Tänne sieltä!|Venha pra cá!|Сюда иди!|到这儿来！|ここにいっらしゃい！|이리 오거라!|Komm her!
relic_ig_92|Delicious!|Herkullista!|Delicioso!|Вкуснятина!|好吃！|おいしい！|맛있군!|Köstlich!
relic_ig_93|Unhealthy but so yummy!|Epäterveellistä, mutta hyvää!|Insalubre mas tão gostoso!|Вредно, но вкусно же!|不健康， 但是太好吃了！|健康によくないが、 とてもおいしいよ！|원래 몸에 나쁜 게 맛있는 법!|Ungesund, aber so lecker!
relic_ig_94|Power of Three|Kolmen voima|Poder de Três|Сила трех|三之力量|三の力|3의 힘|Die Macht der Drei
relic_ig_95|Strong... Cursed...|Vahva... Kirottu...|Forte... maldito...|Сила... Проклятие...|强...诅咒...|強く...呪われた...|강하지만... 저주받은 것...|Stark... Verflucht...
relic_ig_96|Grow grow grow...|Kasva kasva kasva...|Crescer crescer crescer|Расти, расти, расти...|长大长大长大...|成長成長成長...|자라라 자라라 자라라...|Wachsen wachsen wachsen...
relic_ig_97|Vorpal Energy!|Energiaa!|Energia Vorpal!|Энергия!|斩首能量！|ボーパル エネルギー！|일섬 에너지!|Tödliche-Energie!
relic_ig_98|Seems like a battle armor...|Näyttää taistelupanssarilta...|Parece uma armadura de batalha...|Похоже на боевую броню...|好像是战斗盔甲...|戦闘鎧のようです...|전투 갑옷처럼 보인다...|Schaut wie eine Kampfrüstung aus...
relic_ig_99|Seems like a battle armor...|Näyttää taistelupanssarilta...|Parece uma armadura de batalha...|Похоже на боевую броню...|好像是战斗盔甲...|戦闘鎧のようです...|전투 갑옷처럼 보인다...|Schaut wie eine Kampfrüstung aus...
relic_ig_100|Seems like a battle armor...|Näyttää taistelupanssarilta...|Parece uma armadura de batalha...|Похоже на боевую броню...|好像是战斗盔甲...|戦闘鎧のようです...|전투 갑옷처럼 보인다...|Schaut wie eine Kampfrüstung aus...
relic_ig_101|Ninja Powers!|Ninjavoimat!|Poderes de Ninja!|Секретные техники ниндзя!|忍者的力量！|忍者の力！|닌자 파워!|Ninja-Kräfte!
relic_ig_102|Solstice is near|Päivänseisaus tulee|O solstício está próximo|Близится Солнцестояние|夏至将至|夏至の日は近ついた|태양이 이곳에|Die Sonnenwende ist Nah
relic_ig_103|Drop the beat!|Pudota biitti!|Solte a batida!|Врубай басы!|把节拍停下来！|ビートを落とせ！|비트 주세요!|Drop the Beat!
relic_ig_104|Smelly... Strength +1|Haisee... +1 voimaa|Fedorento... Força +1|Фу, ну и запах... Зато +1 к силе|有股味道...力量+1|匂いがする...強さ+1|냄새 한 번 죽이는군... 힘 +1|Stinkig... Stärke +1
relic_ig_105|Fast, Deadly & Vulnerable|Nopea, kuolettava ja haavoittuva|Rápido, mortal e vulnerável|Быстрый и смертоносный, но уязвимый|快速， 致命而易受攻击|迅速で、 致命的だが 攻撃 さ れ やすい|빠르고 치명적이지만 연약해지는|Schnell, tödlich und verletzlich
relic_ig_106|Exploding Sushi!|Räjähtävää sushia!|Sushi Explodindo!|Взрывающиеся суши!|爆炸寿司！|爆発すし！|폭발하는 초밥!|Explodierendes Sushi!
relic_ig_107|Ugh, Creepy!|Hyi, pelottava!|Ugh, assustador!|Ну и жуть!|呜哇，真恶心！|うわ、 ムズムズする！|징그러워!|Ugh, Schräg!
relic_ig_108|Soothing light...|Rauhoittavaa valoa...|Luz calmante...|Успокаивающий свет...|抚慰人心的光芒...|なだめるような光...|마음이 편안해진다...|Beruhigendes Licht...
relic_ig_109|Razor edged leaves of doom!|Tuhon terävät lehdet!|Lâmina afiada folhas da desgraça!|Всеуничтожающие бритвенно-острые листья!|边缘 利 如 刀片 的 毁灭 之 叶！|へり が 鋭く、カミソリ の ような 壊滅 の 葉っぱ！|죽음을 부르는 잎날 가르기!|Rasiermesserscharfe Blätter des Untergangs!
relic_ig_110|Hook 'Em!|Nappaa ne!|Gancho Em!|Хукай!|抓住！|掴め！|모조리 걸어주지!|Schnappt Sie!
relic_ig_111|Disarming Power!|Aseista riisuminen!|Poder de desarmamento!|Обезоруживающая сила!|缴械的力量！|武装解除の力！|무장 해제!|Entwaffnende Kraft!
relic_ig_112|Lovely and Cute but Deadly!|Ihana ja söpö mutta tappava!|Bonito e bonito mais Mortal!|Симпатичный и милый, но смертоносный!|小巧可爱而致命！|素敵で かわいいけど、 致命的！|예쁘고 귀엽지만 치명적!|Schön und niedlich, aber tödlich!
relic_ig_113|Stun You Fools!|Pyörtykää hölmöt!|Atordoar você tolos!|Стоять!|晕住你们这帮蠢货！|お前ら みたいな 馬鹿者 を 気絶 さ せる！|모두 멈춰라!|Betäubt ihr Narren!
relic_ig_114|Slow!|Hidas!|Lento!|Замедление!|变慢！|スロー！|느려져라!|Langsam!
relic_ig_115|Increased Health Globes|Paremmat elämäpallot|Aumento dos Globos de Saúde|Увеличение сфер Здоровья|增加生命球|ヘルスグローブ を 増やせる|향상된 체력 구슬|Verstärkte Gesundheitskugeln
relic_ig_116|$|$|$|$|$|$|$|$
relic_ig_117|Flies... Everywhere...|Kärpäsiä kaikkialla...|Moscas... Em toda parte...|Мухи... Повсюду...|到处都是。。。 苍蝇。。。|ハエ。。。 だらけ。。。|파리는... 어디에나 있지...|Fliegen... Überall...
relic_ig_118|Hex Spell|Noitaloitsu|Feitiço Hex|Сглаз|妖法咒语|呪いの呪文|저주의 주문|Hexenzauber
relic_ig_119|Might of the Sands|Hiekan mahti|Poder das Areias|Мощь песков|沙的力量|砂の力|모래의 힘|Die Macht des Sandes
relic_ig_120|Summon Hydra|Kutsu Hydra|Invocar Hydra|Призывает огненную гидру|召唤九头蛇|ヒドラ召喚|히드라 소환|Beschwörung einer Hydra
relic_ig_121|Winter Cold...|Talven kylmyys...|Frio de inverno...|Леденящий холод...|冬天般寒冷。。。|冬のような寒さ。。。|겨울의 추위...|Winter Kälte...
relic_ig_122|Toxic|Myrkkyä|Tóxico|Отравляет противников|有毒的|毒性あり|맹독|Giftig
relic_ig_123|The Reign of Chaos!|Kaaos vallitsee!|O Reino do Caos!|Торжество хаоса!|混沌的统治！|混沌の支配！|혼돈의 시대!|Die Herrschaft des Chaos!
relic_ig_124|Lets get Wasted!|Vedetään perseet!|Vamos ficar desperdiçados!|Пей до дна!|被虚耗吧！|無駄 使い さ れましょう！|어디 한 번 죽을 때까지 마셔보자!|Lasst uns saufen!
relic_ig_125|Bouncing Bouncy!|Pomppiva pomppija!|Saltando Bouncy!|Прыг-скок!|弹来弹去的弹球！|バウンシング バウンシ！|통통 튀는 바운시!|Hüpfender Flummi
relic_ig_126|Attracts currency and keys!|Ime kolikot!|Engula as moedas!|Притягивает монеты!|把钱吸上来！|コインを吸い取れ！|동전은 나의 것!|Saugt die Münzen!
relic_ig_127|Balalayka solo|Balalaika soolo|Solo balalayka|Соло на балалайке|三弦琴独奏|バラライカのソロ|발랄라이카 독주|Balalayka solo
relic_ig_128|Fan of Darts!|Tikkaviuhka!|Fã de Dardos!|Фанат игры в дартс!|飞镖爱好者！|ダーツのファン！|다트 중독자!|Dartfächer!
relic_ig_129|Round and round we go!|Ympäri mennään yhteen tullaan!|Rodada e rodada vamos!|Кругом!|轮到我们了！|私たち の ラウンドだ！|빙글 빙글!|Immer weiter geht's im Kreis!
relic_ig_130|The wrath of Satan!|Saatanan viha!|A ira de Satanás!|Гнев Сатаны!|撒旦之怒！|サタンの怒り！|사탄의 분노!|Der Zorn des Satans!
relic_ig_131|All souls belong to me...|Kaikki sielut kuuluvat minulle...|Todas as almas pertencem a mim...|Все души принадлежат мне...|所有 的 灵魂 都 是 我 的。。。|すべて の 魂 は 我 の もの。。。|모든 영혼은 내 손에 있으니...|Alle Seelen gehören mir...
relic_ig_132|A jar of hungry flies|Purkki nälkäisiä kärpäsiä|Um pote de moscas famintas|Банка с голодными мухами|一罐饥饿的苍蝇|一缶分の空腹のハエ|굶주린 파리가 든 병|Ein Glas mit hungrigen Fliegen
relic_ig_133|Burn in Hell!|Pala Helvetissä!|Queime no inferno!|Гори в аду!|在地狱中燃烧吧！|地獄で燃えろ！|지옥의 불구덩이로!|Brenne in der Hölle!
relic_ig_134|Critical Energy|Kriittistä energiaa|Energia Crítica|Критическая энергия|暴击能量|クリティカル エネルギー|치명타 에너지|Kritische Energie
relic_ig_135|Lightning flows!|Sähkövirtaa!|O relâmpago flui!|Шаровая молния!|闪电流！|ライトニング・フローズ！|번개여 흘러라!|Der Blitz fließt!
relic_ig_136|Prices -50%|Hinnat -50%|Preços -50%|Скидка 50%|价格-50%|価格-50％|가격 -50%|Preise -50%.
relic_ig_137|Prrrrrr!|Pärrrrrr!|Prrrrrr!|Прррррр!|滋！|ピリ！|프르르르르르르르!|Prrrrrrrrrr!
relic_ig_138|Perfect for hunting kangaroos!|Hyvä kengurun metsästykseen!|Perfeito para caçar cangurus!|Идеально подходит для охоты на кенгуру!|很适合拿来猎袋鼠！|カンガルー 狩り に 最適！|캥거루 사냥에 안성맞춤!|Perfekt für die Jagd auf Kängurus!
relic_ig_139|So much bacon!|Niin paljon pekonia!|Muito bacon!|Так много бекона!|这么多培根！|こんなに 大量な ベーコン！|삼겹살이 너무 많아!|So viel Speck!
relic_ig_140|Hellfire burns.|Helvetin tulet polttavat.|O fogo do inferno queima.|Адское пламя.|地狱火燃烧|地獄の炎が燃える。|지옥의 불이여, 타올라라.|Das Höllenfeuer brennt.
relic_ig_141|Homing Shots|Hakeutuvat ohjukset|Tiros de Homing|Система самонаведения|追踪射击|ホーミングショット|유도탄|Zielsuchende Schüsse
relic_ig_142|Makes me barf.|Oksettaa.|Me faz barf.|Щас вырвет...|让我想吐|私 に 吐か せたく なる。|트림하고 싶을 때 마셔.|Ich muss kotzen.
relic_ig_143|God will smite your foes!|Jumala rankaisee!|Deus ferirá seus inimigos!|Да поразит Господь врагов твоих!|神会惩罚你的敌人！|あなた の 敵、 神様 が 打ち倒す！|신께서 적들을 처단해주실 지어다!|Gott wird eure Feinde zerschmettern!
relic_ig_144|Nimbus Cloud!|Nimbus pilvi!|Nuvem de Nimbus!|Дождевое облако!|灵气之云！|ニンバスクラウド！|근두운!|Nimbus Wolke!
relic_ig_145|Friends with the Demons.|Demonien ystävä.|Amigos com os demônios.|Демон тебе товарищ!|与恶魔做朋友。|悪魔と友達になる。|악마들과 친구 맺기.|Freund der Dämonen.
relic_ig_146|Honey Cannon|Hunajakanuuna|Canhão de mel|Медовая пушка|蜂蜜加农炮|ハニーキャノン|꿀 포탄|Honig-Kanone
relic_ig_147|The Sun... It burns...|Aurinko polttaa...|O Sol... queima...|Ах... Солнце... жжёт..|太阳...烧到了...|太陽...燃えて...|태양이... 불타오른다...|Die Sonne... Es brennt...
relic_ig_148|Drop it.|Pudota se.|Largue.|Брось!|丢下去。|落とせ。|떨어뜨려.|Lass es fallen.
relic_ig_149|A Zombie pal!|Zombi ystävä!|Um amigo do Zumbi!|Новый зомби-друг!|一个僵尸同伴！|一人 の ゾンビ の 仲間！|착한 좀비 친구!|Ein Zombie-Freund!
relic_ig_150|Crack it up!|Kräkkää se!|Rache-o!|Крякни!|把它破解掉！|あれを解決せよ！|뚫어봐!|Dreh auf!
relic_ig_151|Breath of fire.|Tulihenkäys.|Respiração de fogo.|Дышит огнём|火焰吐息|ブレス・オブ・ファイア。|용의 숨결.|Ein Hauch von Feuer.
relic_ig_152|A glowing syringe, what could it be?|Loistava ruisku, mikä se voisi olla?|Uma seringa brilhante, o que poderia ser?|Хм... Что-то светящееся в шприце...|一个 发光 的 针剂，会 是 什么 呢？|一個 の 光る シリンジ、 なん の ものでしょう？|붉은 액체가 든 주사기, 이걸로 뭘 할 수 있을까?|Eine glühende Spritze, was könnte das sein?
relic_ig_153|Roll it!|Heitä ne!|Role isso!|Бросай!|掷骰吧！|ロールせよ！|굴려!|Roll es!
relic_ig_154|$|$|$|$|$|$|$|$
relic_ig_155|A thunder glaive.|Salama-ase.|Um trovão gládio.|Молниеносная глефа.|雷电阔剑|サンダーグレイブ。|천둥의 힘이 깃든 창.|Eine Donnerglefe.
relic_ig_156|Hop in and see what happens!|Hyppää sisään ja katso!|Entre e veja o que acontece!|Прыгай в трубу и увидишь!|跳进去看看会发生什么！|飛び込んで 何 が 起こる の か 見て みよう！|들어가면 무슨 일이 일어날까?|Steig ein und sehe was passiert!
relic_ig_157|Eww, it's rotten!|Hyi, se on mätä!|Eww, é podre!|Фу, оно гнилое!|呃，它烂了！|えー、腐った！|윽, 썩었잖아!|Igitt, es ist vergammelt!
relic_ig_158|Turns things into gold... Right?|Muuttaa kullaksi... Eikö?|Transforma as coisas em ouro... Certo?|Превращает все в золото... Да?|把东西变成金子...对吗？|物を金に変える...でしょう？|무엇이든지 금으로 만들 수 있는 거... 맞지?|Verwandelt Dinge in Gold... Richtig?
relic_ig_159|Oversizes your projectiles!|Suurentaa iskusi!|Aumente seus projéteis!|Увеличивает снаряды!|把你的子弹变大！|あなた の 発射体 を オーバーサイズ に！|발사체를 크게!|Vergrössert eure Projektile!
relic_ig_160|Opens many doors...|Avaa monia ovia...|Abre muitas portas...|Открывает почти все двери...|打开很多门...|たくさん の ドア を開く...|수 많은 문을 열었다지...|Öffnet viele Türen...
relic_ig_161|Luck of the Draw.|Arpaonnea.|Sorte do sorteio.|Как карта ляжет.|下注的幸运。|ドローの幸運|제비뽑기|Glück der Auslosung.
relic_ig_162|So yummy!|Niin hyvää!|Tão gostoso!|Пальчики оближешь!|真好吃！|とてもおいしい！|너무 맛있어!|So lecker!
relic_ig_163|Sudden boost in Energy!|Lisää energiaa!|Aumento repentino em energia!|Внезапный прилив сил!|突然爆发！|エネルギー急増！|에너지 급상승!|Plötzliche Steigerung der Energie!
relic_ig_164|Makes you venomous|Olet nyt myrkyllinen|Faz você venenoso|Отравляющее касание|让你带毒|あなた に 毒性 を 持た せる|독기 충만|Macht dich giftig
relic_ig_165|Luck of the Manapool...|Onnea taikavoimasta...|Sorte da Manapool...|Как кубик ляжет...|能量池的幸运...|マナプールの幸運...|마나 복권...|Glück des Manapools...
relic_ig_166|Restores Mana on use!|Palauttaa taikavoimaa!|Restaura Mana no uso!|Восполняет ману при использовании!|使用回复能量！|使う 場合 は マナ を 回復 できる！|사용하면 마나 재생!|Stellt Mana bei Gebrauch wieder her!
