[talents]|en|fi|pt|ru|zh|ja|ko|de
redneck_desc_2|Throws a Moonshine Molotov which explodes into burning oil applying burning to enemies.|Punaniska heittää palavan Pontikkapullon joka hajotessaan luo maahan palavaa öljyä joka sytyttää viholliset tuleen.|Lança um Molotov Moonshine que explode para queimar óleo, aplicando fogo nos inimigos.|Бросает Коктейль Молотова, который, разбившись о землю, создает лужу горящего масла.|投掷月光莫洛托夫，爆炸成燃烧的油，向敌人燃烧。|敵に火をつけて燃 える油に爆発する ムーンシャインモ ロトフを投げます。|달빛 화염병을 발사하여 불타는 기름으로 폭발하여 적에게 불을 붙입니다.|Wirft einen Mondschein-Molotow, der in brennendes Öl explodiert und Feinde verbrennt.
redneck_desc_3|The Hillbilly uses his homemade Pipe Bombs and lobs three of them dealing AOE damage.|Punaniska heittää kolme nikkaroimaansa dynamiittipötköä tehden alueellista vahinkoa.|O caipira usa suas bombas caseiras e lança três delas causando dano AOE.|Деревенщина бросает 3 самодельные бомбы, которые наносят урон по области.|乡巴佬使用他自制的烟斗炸弹和高球，其中三个对AOE造成伤害。|ヒルビリーは自家製のパイプ爆弾と3つの爆弾を使用して、AOEダメージを与えます。|힐 빌리는 집에서 만든 파이프 폭탄을 사용하고 그 중 세 개는 AOE 피해를 입 힙니다.|Der Hinterwäldler benutzt seine hausgemachten Rohrbomben und schlägt drei davon, die AOE-Schaden verursachen.
redneck_desc_4|Gives Hillbilly's attacks a chance to launch a Truck Tire.|Antaa Punaniskan hyökkäyksille mahdollisuuden heittää maasturin pyörä joka tekee vahinkoa vihollisiin.|Dá aos ataques de caipiras a chance de lançar um pneu de caminhão.|Деревенщина имеет шанс при Базовой Атаке запустить Горящие Шины.|使乡巴佬的进攻有机会发射卡车轮胎。|ヒルビリーの攻撃にトラックタイヤを発射する機会を与えます。|힐 빌리의 공격이 트럭 타이어를 발사 할 기회를줍니다.|Gibt Hinterwäldlern die Chance, einen LKW-Reifen zu starten.
redneck_desc_5|Gives a chance for all attacks and abilities to inflict the enemy with burning.|Antaa mahdollisuuden kaikille hyökkäyksille ja taidoille sytyttää vihollinen tuleen.|Dá a chance de todos os ataques e habilidades infligirem queima ao inimigo.|Дарует шанс при Базовой Атаке и при использовании Способностей Поджечь врагов.|使所有攻击和能力都有机会燃烧敌人。|すべての攻撃と能力に敵に火傷を負わせる機会を与えます。|모든 공격과 능력으로 적을 불 태울 수 있습니다.|Gibt allen Angriffen und Fähigkeiten die Möglichkeit, dem Feind Brennen zuzufügen.
redneck_desc_6|The Hillbilly enters a rage making all of his attack procs temporarily have increased proc rate. (Works only on Hillbilly procs).|Punaniska raivostuu nostaen kaikkien hyökkäyksiensä mahdollisuuden hetkettäisesti. (Toimii vain Punaniskan taidoilla).|O caipira entra em fúria fazendo com que todas as suas probabilidades de ataque tenham aumentado temporariamente a taxa de probabilidade. (Funciona apenas com probabilidade caipira).|Деревенщина впадает в ярость! Временно увеличивает шанс срабатывания Талантов ЭТОГО Дерева Талантов. Не влияет на Таланты Дровосека.|乡下人进入愤怒状态，使他的所有攻击概率暂时增加了概率。 （仅适用于乡巴佬可能性）。|ヒルビリーは激怒し、彼の攻撃確率のすべてが一時的に確率率を高めます。 （ヒルビリー確率でのみ機能します）。|힐 빌리는 분노로 자신의 모든 공격 확률이 일시적으로 확률을 높였습니다. (언덕 확률에서만 작동합니다).|Der Hinterwäldler gerät in Wut, wodurch alle seine Angriffswahrscheinlichkeiten vorübergehend die Wahrscheinlichkeit erhöht haben. (Funktioniert nur mit Hinterwäldlerwahrscheinlichkeit).
redneck_desc_7|Chance to sip some moonshine and increase MS & AS.|Mahdollisuus naukata pontikkaa ja nostaa liikkumis- ja hyökkäysnopeutta.|Chance de saborear algum moonshine e aumentar MS & AS.|Деревенщина имеет шанс при Базовой Атаке отпить из бутыли с самогоном и увеличить Скорость Атаки и Скорость Передвижения.|有机会嘬饮一口烈酒，增加移动速度和攻击速度。|多少のきついお酒を飲むチャンスが与えられ、MS＆AS（移動速度と攻撃速度）が増大されます。|일정 확률로 밀주를 마시고 이동 속도와 공격 속도가 증가한다.|Chance, etwas Mondschein zu trinken und MS & AS zu erhöhen.
redneck_desc_8|Increases Hillbilly's burn damage on abilities and attacks.|Nostaa Punaniskan tulivauriota taidoissa ja hyökkäyksissä.|Aumenta o dano de queimadura de caipira nas habilidades e ataques.|Увеличивает урон Горения, накладываемого Атаками и Способностями Деревенщины.|增加乡巴佬对技能和攻击的燃烧伤害。|ヒルビリーの能力と攻撃に対する火傷のダメージを増加させます。|능력과 공격에 대한 힐 빌리의 화상 데미지를 증가시킵니다.|Erhöht den Brandschaden von Hinterwäldlern bei Fähigkeiten und Angriffen.
redneck_desc_9|Call for the Hillbilly's Pickup Truck to raid his enemies!|Punaniska kutsuu kaverinsa avolavallaan kylvämään tuhoa vihollisiin!|Chame a caminhonete do caipira para atacar seus inimigos!|Деревенщина зовет своих корешей на пикапе, чтоб задать жару врагам!|呼吁乡巴佬的皮卡车突袭他的敌人！|ヒルビリーのピックアップトラックで敵を襲撃してください！|힐 빌리의 픽업 트럭을 불러 적을 공격하십시오!|Rufen Sie nach dem Pickup des Hinterwäldlers, um seine Feinde zu überfallen!
redneck_desc_10|Gives Logger's attacks a chance to stomp the ground stunning nearby enemies.|Puunhakkaajalla on hyökätessä mahdollisuus mäsäyttää maata ympärillään tainnuttaen ja vahingoittaen vihollisia.|Dá aos ataques dos madeireiros a chance de pisar no chão, atordoando inimigos próximos.|Дарует Дровосеку шанс при Базовой Атаке ударить по земле, Оглушая врагов и нанося им урон.|使伐木者的进攻有机会踩踏地面，击晕附近的敌人。|ロガーの攻撃に、近くの敵を驚かして地面を踏みつけるチャンスを与えます。|로거의 공격으로 주변의 적을 기절시킬 수 있습니다.|Ermöglicht Logger-Angriffen die Chance, auf den Boden zu stampfen und Gegner in der Nähe zu betäuben.
redneck_desc_11|The Logger lays down multiple Bear Traps which will immobilize and damage enemies.|Puunhakkaaja heittää usean karhunraudan maahan jotka pysäyttävät ja vahingoittavat niihin astuneita vihollisia.|O madeireiro estabelece várias armadilhas para ursos que imobilizam e danificam os inimigos.|Дровосек устанавливает несколько капканов, которые Оглушают врагов и наносят им урон.|伐木工放下多个熊陷阱，这将使敌人无法动弹并造成伤害。|ロガーは複数のクマのわなを置き、それは敵を固定してダメージを与えます。|로거는 다수의 곰 함정을 내려 놓고 적을 움직이지 못하게하고 손상시킵니다.|Der Logger legt mehrere Bärenfallen ab, die Feinde bewegungsunfähig machen und beschädigen.
redneck_desc_12|The Logger starts spinning his chainsaw damaging all enemies around him! Each point increases the AoE.|Puunhakkaaja alkaa pyörittämään moottorisahaansa vahingoittaen kaikkia vihollisia ympärillään! Jokainen piste lisää AoE:tä.|O madeireiro começa a girar sua motosserra danificando todos os inimigos ao seu redor! Cada ponto aumenta a AoE.|Дровосек вращает бензопилой вокруг себя, наносит урон врагам и Замедляет их.|伐木工人开始旋转他的电锯，伤害他周围的所有敌人每点都会增加AOE。|Loggerはチェーンソーを回転させ、周囲の敵にダメージを与えます。1ポイントごとにAoEが増加します。|로거는 전기 톱을 회전시켜 주변의 모든 적에게 피해를 입 힙니다! 각 포인트는 AoE를 증가시킵니다.|Der Holzfäller fängt an, seine Kettensäge zu drehen und beschädigt alle Gegner um ihn herum! Jeder Punkt erhöht die AoE.
redneck_desc_13|Increases Stamina and Armor, has a chance to increase your Movement Speed by 50 on attack.|Lisää kestävyyttä ja panssaria, on mahdollisuus kasvattaa liikkumisnopeutta 50: llä hyökkäyksessä.|Aumenta o vigor e a armadura, tem chance de aumentar sua velocidade de movimento em 50 no ataque.|Увеличивает Выносливость и Броню. Дровосек имеет шанс при Базовой атаке увеличить свою Скорость Передвижения на 50.|增加耐力和护甲，攻击时有一定几率使您的移动速度提高50。|スタミナとアーマーを増加させ、攻撃時に移動速度を50増加させるチャンスがあります。|체력과 방어력이 증가하고 공격시 이동 속도가 50 증가합니다.|Erhöht Ausdauer und Rüstung und hat die Chance, die Bewegungsgeschwindigkeit beim Angriff um 50 zu erhöhen.
redneck_desc_14|The Logger revs up his chainsaw engine, increasing his Attack Speed temporarily.|Puunhakkaaja rykäisee moottorisahansa käyntiin nostaen hyökkäysnopeuttaan hetkeksi.|O madeireiro acelera seu motor de motosserra, aumentando temporariamente sua velocidade de ataque.|Дровосек разгоняет мотор своей бензопилы. Временно увеличивает Скорость Атаки.|伐木工会提高电锯引擎的速度，暂时提高其“攻击速度”。|ロガーはチェーンソーエンジンを回転させ、一時的に攻撃速度を上げます。|로거는 전기 톱 엔진의 회전 속도를 높여 일시적으로 공격 속도를 높입니다.|Der Logger dreht seinen Kettensägenmotor auf und erhöht vorübergehend seine Angriffsgeschwindigkeit.
redneck_desc_15|The Logger focuses on his years of logging and knows how to target weak points. Chance on attack to decrease enemy Armor.|Puunhakkaaja tietää kokemuksellaan missä vastustajan heikot kohdat sijaitsevat. Hyökätessä mahdollisuus laskea vihollisen kestävyyttä.|O madeireiro concentra-se em seus anos de exploração madeireira e sabe como atingir pontos fracos. Chance de atacar para diminuir a armadura inimiga.|Многолетний опыт работы позволяет Дровосеку легко подмечать слабые места. При попадании Базовой Атакой имеет шанс наложить Разрушение Брони.|伐木工专注于他多年的伐木工作，并且知道如何针对薄弱环节。攻击时有减少敌人护甲的几率。|ロガーは彼の長年のロギングに焦点を当て、弱点をターゲットにする方法を知っています。敵の鎧を減らすために攻撃するチャンス。|로거는 수년간의 벌목에 중점을두고 약점을 목표로하는 방법을 알고 있습니다. 적을 방어 할 확률|Der Logger konzentriert sich auf seine jahrelange Protokollierung und weiß, wie man Schwachstellen beseitigt. Chance beim Angriff, die Rüstung des Feindes zu verringern.
